id,verb,auxiliary,participle,translation,level,createdAt,updatedAt,deletedAt
1,Hören,haben,gehört,Escuchar,A1.1,12/06/20,,
2,Fahren,sein,gefahren,Ir / Andar / Pilotear / Viajar en,A1.1,12/06/20,,
3,Lernen,haben,gelernt,Aprender,A1.1,12/06/20,,
4,Denken,haben,gedacht,Pensar,A1.1,12/06/20,,
5,Meinen,haben,gemeint,Opinar,A1.1,12/06/20,,
6,Anfangen,haben,angefangen,Comenzar,A1.1,12/06/20,,
7,Geben,haben,gegeben,Dar,A1.1,12/06/20,,
8,Fliegen,sein,geflogen,Volar,A1.1,12/06/20,,
9,Springen,sein,gesprungen,Saltar,A1.1,12/06/20,,
10,Abbiegen,sein,abgebogen,Doblar / Virar / Desviarse,A1.2,12/06/20,,
11,Beschreiben,haben,beschrieben,Describir,A1.2,12/06/20,,
12,Weiterfahren,haben,weiterfahren,Continuar,A1.2,12/06/20,,
13,Wenden,haben,gewendet,Virar / Dar vuelta a ,A1.2,12/06/20,,
14,Zurückfahren,sein,zurückfahren,Volver / Regresar,A1.2,12/06/20,,
15,Anmachen,haben,angemacht,Encender / Sujetar,A1.2,12/06/20,,
16,Fragen,haben,gefracht,Preguntar,A1.2,12/06/20,,
17,Helfen,haben,geholfen,Ayudar,A1.2,12/06/20,,
18,Stimmen,haben,gestimmt,Concordar,A1.2,12/06/20,,
19,Vermieten,haben,vermietet,Alquilar,A1.2,12/06/20,,
20,Aussehen,haben,ausgesehen,Parecer / Aparentar,A1.2,12/06/20,,
21,Bezahlen,haben,bezahlt,Pagar,A1.2,12/06/20,,
22,Stehen,haben,gestanden,Estar de pie,A1.2,12/06/20,,
23,Danken,haben,gedankt,Agradecer,A1.2,12/06/20,,
24,Fehlen,haben,gefehlt,Equivocarse,A1.2,12/06/20,,
25,Gehören,haben,gehört,Pertenecer,A1.2,12/06/20,,
26,Rufen,haben,gerufen,Llamar,A1.2,12/06/20,,
27,Bringen,haben,gebracht,Llevar,A1.2,12/06/20,,
28,Funktionieren,haben,funktioniert,Funcionar,A1.2,12/06/20,,
29,Kümmern,haben,gekümmert,Preocuparse,A1.2,12/06/20,,
30,Reparieren,haben,repariert,Reparar,A1.2,12/06/20,,
31,Schicken,haben,geschickt,Enviar,A1.2,12/06/20,,
32,Absagen,haben,abgesagt,Cancelar / Suspender,A1.2,12/06/20,,
33,Vereinbaren,haben,vereinbart,Concertar / Ponerse de acuerdo,A1.2,12/06/20,,
34,Verschieben,haben,verschoben,Desplazar / Cambiar de sitio,A1.2,12/06/20,,
35,Passen,haben,gepasst,Pasar,A1.2,12/06/20,,
36,Ausmachen,haben,ausgemacht,Apagar,A1.2,12/06/20,,
37,Kennenlernen,haben,kennengelernt,Conocer,A1.2,12/06/20,,
38,Mitnehmen,haben,mitgenommen,Tomar,A1.2,12/06/20,,
39,Tun,haben,getan,Hacer,A1.2,12/06/20,,
40,Warten,haben,gewartet,Esperar,A1.2,12/06/20,,
41,Abschliessen,haben,abgeschlossen,Ultimar / Terminar,A1.2,12/06/20,,
42,Anmelden,haben,angemeldet,Solicitar / matricular / anotarse,A1.2,12/06/20,,
43,Verdienen,haben,Verdient,Ganar (dinero) / ameritar,A1.2,12/06/20,,
44,Werden,sein,geworden,Convertirse,A1.2,12/06/20,,
45,Wollen,haben,gewollt,Querer,A1.2,12/06/20,,
46,Heiraten,haben,geheiratet,Casarse,A1.2,12/06/20,,
47,Laufen,sein,gelaufen,Correr,A1.2,12/06/20,,
48,Rennen,sein,gerannt,Correr,A1.2,12/06/20,,
49,Reisen,sein,gereist,Viajar,A1.2,12/06/20,,
50,Putzen,haben,geputzt,Fregar,A1.2,12/06/20,,
51,Husten,haben,gehustet,Toser,A1.2,12/06/20,,
52,Wehtun,haben,Wehgetan,Hacer daño,A1.2,12/06/20,,
53,Bleiben,sein,geblieben,Quedarse,A1.2,12/06/20,,
54,Geben,haben,gegeben,Dar,A1.2,12/06/20,,
55,Sollen,haben,gesollt,"Deber (en el sentido de cumplir una orden, una ley o una tarea)",A1.2,12/06/20,,
56,Beschweren (sich),haben,sich beschwert,Quejarse,A1.2,12/06/20,,
57,Erkennen,haben,erkannt,Reconocer,A1.2,12/06/20,,
58,Geboren,sein,geboren,Nacer,A1.2,12/06/20,,
59,Vergessen,haben,vergessen,Olvidar,A1.2,12/06/20,,
60,Abtrocknen,haben,abgetrocknet,Secar,A1.2,12/06/20,,
61,Abwaschen,haben,abgewaschen,Lavar,A1.2,12/06/20,,
62,Spülen,haben,gespült,Lavar / Enjuagar,A1.2,12/06/20,,
63,Waschen,haben,gewaschen,Lavar,A1.2,12/06/20,,
64,Hassen,haben,gehasst,Odiar,A1.2,12/06/20,,
65,Zumachen,haben,zugemacht,Cerrar,A1.2,12/06/20,,
66,Achten,haben,geachtet,Prestar atención,A1.2,12/06/20,,
67,Hupen,haben,gehupt,Tocar la bocina,A1.2,12/06/20,,
68,Parken,haben,geparkt,Estacionar,A1.2,12/06/20,,
69,Schieben,haben,geschoben,Empujar / Mover,A1.2,12/06/20,,
70,Stehen bleiben,sein,stehen geblieben,Estacionar / Parar,A1.2,12/06/20,,
71,Tragen,haben,getragen,Llevar / Aguantar / Gastar,A1.2,12/06/20,,
72,Verstehen,haben,verstanden,Entender,A1.2,12/06/20,,
73,Aufstehen,sein,aufgestanden,Levantarse,A1.2,12/06/20,,
74,Baden,haben,gebadet,Bañarse,A1.2,12/06/20,,
75,Grillen,haben,gegrillt,Asar a la parrilla,A1.2,12/06/20,,
76,Klingeln,haben,geklingelt,Sonar / Llamar,A1.2,12/06/20,,
77,Müssen,haben,gemüsst,Deber,A1.2,12/06/20,,
78,Sitzen,haben,gesessen,Sentarse,A1.2,12/06/20,,
79,Anhaben,haben,angehabt,Llevar / Vestir,A1.2,12/06/20,,
80,Anziehen,haben,angezogen,Vestir / Atraer / Cautivar,A1.2,12/06/20,,
81,Erzählen,haben,erzählt,Decir / Describir / Narrar,A1.2,12/06/20,,
82,Regnen,haben,geregnet,Llover,A1.2,12/06/20,,
83,Schneien,haben,geschienen,Nevar,A1.2,12/06/20,,
84,Scheinen,haben,gescheinen,Nevar,A1.2,12/06/20,,
85,Bestehen,haben,bestanden,Sobrevenir,A1.2,12/06/20,,
86,Gratulieren,haben,gratuliert,Agradecer,A1.2,12/06/20,,
87,Schenken,haben,geschenkt,Dar / Prestar / Regalar,A1.2,12/06/20,,
88,Antworten,haben,geanwortet,Responder,A1.2,12/06/20,,
89,Gewinnen,haben,gewonnen,Ganar,A1.2,12/06/20,,
90,Umziehen,sein,umgezogen,Mudarse de casa,A1.2,12/06/20,,
91,Klettern,sein,geklettert,Subir / trepar,A2.1,12/06/20,,
92,Sammeln,haben,gesammelt,Reunir / Recopilar,A2.1,12/06/20,,
93,Streiten,haben,gestritten,Discutir,A2.1,12/06/20,,
94,Übernachten,haben,Übernachtet,Pasar la noche,A2.1,12/06/20,,
95,Verkaufen,haben,verkauft,Vender,A2.1,12/06/20,,
96,Zeichnen,haben,gezeichnet,Dibujar,A2.1,12/06/20,,
97,Aufmachen,haben,aufgemacht,Abrir  / Deshacer,A2.1,12/06/20,,
98,Aufpassen,haben,aufgepasst,Estar atento / Escuchar con atención / Espiar,A2.1,12/06/20,,
99,Klappen,haben,geklappt,Aplaudir,A2.1,12/06/20,,
100,Passieren,sein,Passiert,Suceder,A2.1,12/06/20,,
101,Rufen,haben,gerufen,Llamar,A2.1,12/06/20,,
102,Wachsen,sein,gewachsen,Crecer,A2.1,12/06/20,,
103,Einrichten,haben,eingerichtet,Establecer / organizar,A2.1,12/06/20,,
104,Hängen,haben,gehängt,Colgar,A2.1,12/06/20,,
105,Legen,haben,gelegt,Poner / Colocar,A2.1,12/06/20,,
106,Liegen,haben,gelegen,Estar colocado,A2.1,12/06/20,,
107,Renovieren,haben,renoviert,Renovar,A2.1,12/06/20,,
108,Stehen,haben,gestanden,Mantenerse de pie,A2.1,12/06/20,,
109,Stellen,haben,gestellt,Proporcionar / prestar,A2.1,12/06/20,,
110,Diskutieren,haben,diskutiert,Discutir,A2.1,12/06/20,,
111,Verstecken,haben,versteckt,Ocultar,A2.1,12/06/20,,
112,Anbieten,haben,angeboten,Ofrecer,A2.1,12/06/20,,
113,Beraten,haben,beraten,Aconsejar,A2.1,12/06/20,,
114,Beginnen,haben,begonnen,Empezar,A2.1,12/06/20,,
115,Buchen,haben,gebucht,Reservar,A2.1,12/06/20,,
116,Enden,haben,geendet,Terminar,A2.1,12/06/20,,
117,Erleben,haben,erlebt,Vivir (una experiencia de vida),A2.1,12/06/20,,
118,Mitmachen,haben,mitgemacht,Participar,A2.1,12/06/20,,
119,Liegen,haben,gelegen,Radicar,A2.1,12/06/20,,
120,Bestellen,haben,bestellt,Nombrar (oficialmente) / Encargar / Reservar,A2.1,12/06/20,,
121,Hoffen,haben,gehofft,Tener esperanza,A2.1,12/06/20,,
122,Besichtigen,haben,besichtigt,Reconocer / Visitar,A2.1,12/06/20,,
123,Interessieren (sich),haben,interessiert,Interesarse,A2.1,12/06/20,,
124,Wechseln,haben,gewechselt,"Cambiar (moneda, una rueda, etc)",A2.1,12/06/20,,
125,Abgeben,haben,abgegeben,Dejar / Entregar,A2.1,12/06/20,,
126,Ärgern (sich),haben,geärgert,Enojarse,A2.1,12/06/20,,
127,Sein,sein,gewesen,Ser,A2.1,12/06/20,,
128,Freuen,haben,gefreut,Alegrar,A2.1,12/06/20,,
129,Erleben,haben,erlebt,Vivir / Experimentar,A2.1,12/06/20,,
130,Stattfinden,haben,stattgefunden,Tener lugar / Acontecer,A2.1,12/06/20,,
131,Zahlen,haben,gezahlt,Pagar,A2.1,12/06/20,,
132,Ausmachen,haben,ausgemacht,Apagar,A2.1,12/06/20,,
133,Halten von,haben,gehalten,Sostener / Suponer / Pensar de,A2.1,12/06/20,,
134,Hinfahren,sein,hingefahren,Ir / Conducir a un lugar determinado,A2.1,12/06/20,,
135,Lessen,haben,gelassen,Leer,A2.1,12/06/20,,
136,Mitkommen,sein,mitgekommen,Venir / Acompañar,A2.1,12/06/20,,
137,Verabreden (sich),haben,verabredet,Fijar / Convenir,A2.1,12/06/20,,
138,Vorschlagen,haben,vorgeschlagen,Sugerir / Recomendar,A2.1,12/06/20,,
139,Abnehmen,haben,abgenommen,Bajar de peso,A2.1,12/06/20,,
140,Ausruhen,haben,ausgeruht,Descansar / Respirar,A2.1,12/06/20,,
141,Trainieren,haben,trainiert,Entrenar,A2.1,12/06/20,,
142,Wiegen,haben,gewogen,Ponderar,A2.1,12/06/20,,
143,Empfehlen,haben,empfohlen,Recomendar / Encomendar,A2.1,12/06/20,,
144,Leihen,haben,geliehen,Tomar prestado,A2.1,12/06/20,,
145,Öffnen,haben,geöffnet,Abrir,A2.1,12/06/20,,
146,Teilnehmen,haben,teilgenommen,Participar,A2.1,12/06/20,,
147,Bluten,haben,geblutet,Sangrar,A2.1,12/06/20,,
148,Operieren,haben,operiert,Operar,A2.1,12/06/20,,
149,Sterben,haben,gestorben,Morir,A2.1,12/06/20,,
150,Untersuchen,haben,untersucht,Investigar,A2.1,12/06/20,,
151,Verbinden,haben,verbunden,Unir / Juntar,A2.1,12/06/20,,
152,Hinfallen,sein,hingefallen,Caer,A2.1,12/06/20,,
153,Vertrauen,haben,vertraut,Confiar,A2.1,12/06/20,,
154,Sinken,sein,gesunken,Hundirse,A2.1,12/06/20,,
155,Sparen,haben,gespart,Ahorrar,A2.1,12/06/20,,
156,Steigen,haben,gestiegen,Elevar / Subir / Aumentar,A2.1,12/06/20,,
157,Erklären,haben,erklärt,Explicar,A2.1,12/06/20,,
158,Reservieren,haben,reserviert,Reservar,A2.1,12/06/20,,
159,Reagieren,haben,reagiert,Reaccionar,A2.1,12/06/20,,
160,Herstellen,haben,hergestellt,Hacer / Producir / Elaborar,A2.1,12/06/20,,
161,Organisieren,haben,organisiert,Organizar,A2.1,12/06/20,,
162,Verwenden,haben,verwendet,Usar / Aplicar,A2.1,12/06/20,,
163,Wegwerfen,haben,weggeworfen,Descartar,A2.1,12/06/20,,
164,Bedanken,haben,bedankt,Agradecer,A2.1,12/06/20,,
165,Wünschen,haben,gewünscht,Desear,A2.1,12/06/20,,
166,Erinnern,haben,erinnert,Recordar,A2.1,12/06/20,,
167,Fühlen,haben,gefühlt,Sentir,A2.1,12/06/20,,
168,Streiten,haben,gestritten,Discutir,A2.1,12/06/20,,
169,Unterhalten,haben,unterhalten,Entretener / Mantener,A2.1,12/06/20,,
170,Verlieren,haben,verloren,Perder,A2.1,12/06/20,,
171,Braten,haben,gebraten,Asar / Freir,A2.1,12/06/20,,
172,Ansehen,haben,angesehen,Mirar / Contemplar,A2.1,12/06/20,,
173,Aussuchen,haben,ausgesucht,Elegir / Entresacar,A2.1,12/06/20,,
174,Holen,haben,geholt,Ir a buscar a alguien / Obtener,A2.1,12/06/20,,
175,Überraschen,haben,Überrascht,Sorprender,A2.1,12/06/20,,
176,Verbrauchen,haben,verbrauchen,Consumir / Gastar,A2.1,12/06/20,,
177,Vorbereiten,haben,vorbereitet,Preparar,A2.1,12/06/20,,
178,Wundern,haben,gewundert,Maravillar / Sorprender,A2.1,12/06/20,,
179,Stecken Lassen,haben,stecken lassen,Dejar metido,A2.2,12/06/20,,
180,Anschauen,haben,angeschaut,Mirar,A2.2,12/06/20,,
181,Aufschreiben,haben,aufgeschrieben,Anotar,A2.2,12/06/20,,
182,Bewegen,haben,bewegt,Mover,A2.2,12/06/20,,
183,Korrigieren,haben,Korrigiert,Corregir,A2.2,12/06/20,,
184,Lösen,haben,gelöst,Solucionar,A2.2,12/06/20,,
185,Merken,haben,gemerkt,Notar / Advertir / Percatar,A2.2,12/06/20,,
186,Übersetzen,haben,übersetzt,Traducir,A2.2,12/06/20,,
187,Wiederholen,haben,wiederholt,Reiterar / Repasar,A2.2,12/06/20,,
188,Planen,haben,geplant,Planear,A2.2,12/06/20,,
189,Verlieben,haben,verliebt,Enamorarse,A2.2,12/06/20,,
190,Verreisen,haben,verreist,Desaparecer / Irse de viaje / Ausentarse,A2.2,12/06/20,,
191,Unterschreiben,haben,unterschrieben,Firmar,A2.2,12/06/20,,
192,Packen,haben,gepacken,Embalar,A2.2,12/06/20,,
193,Transportieren,haben,transportiert,Transportar,A2.2,12/06/20,,
194,Einpacken,haben,eingepackt,Embalar,A2.2,12/06/20,,
195,Ankreuzen,haben,angekreuzt,Marcar con una cruz / Comprobar,A2.2,12/06/20,,
196,Benutzen,haben,benutz,Hacer uso / emplear,A2.2,12/06/20,,
197,Denken,haben,gedacht,Pensar,A2.2,12/06/20,,
198,Ergänzen,haben,ergänzt,Completar,A2.2,12/06/20,,
199,Gebrauchen,haben,gebraucht,Hacer uso / emplear,A2.2,12/06/20,,
200,Gucken,haben,geguckt,Mirar / Asomar,A2.2,12/06/20,,
201,Produzieren,haben,produziert,Producir,A2.2,12/06/20,,
202,Bedeuten,haben,bedeutet,Significar / quiere decir / implicar,A2.2,12/06/20,,
203,Wecken,haben,geweckt,Despertar,A2.2,12/06/20,,
204,Tanken,haben,getankt,Cargar combustible,A2.2,12/06/20,,
205,Überqueren,haben,Überquert,Cruzar / Atravesar,A2.2,12/06/20,,
206,Ärgern über (sich),haben,sich geärgert,Enojarse,A2.2,12/06/20,,
207,Denken an,haben,gedacht,Pensar,A2.2,12/06/20,,
208,Freuen auf (sich),haben,sich gefreut,Regocijarse,A2.2,12/06/20,,
209,Interessieren für (sich),haben,sich interessiert,Interesarse,A2.2,12/06/20,,
210,Lust haben auf,haben,Lust gehabt,Tener ganas,A2.2,12/06/20,,
211,Sprechen über/mit,haben,gesprochen,Hablar sobre/con,A2.2,12/06/20,,
212,Träumen von,haben,geträumt,Soñar con,A2.2,12/06/20,,
213,Treffen mit (sich),haben,sich getroffen,Encontrarse,A2.2,12/06/20,,
214,Lohnen (sich),haben,sich gelohnt,Valer la pena,A2.2,12/06/20,,
215,Probieren (etwas),haben,etwas probiert,probar,A2.2,12/06/20,,
216,Recht haben,haben,recht gehabt,Tener razón,A2.2,12/06/20,,
217,Unternehmen (etwas),haben,etwas unternommen,Emprender,A2.2,12/06/20,,
218,Versuchen (etwas),haben,etwas versucht,Ensayar,A2.2,12/06/20,,
219,Weggehen,sein,weggegangen,Irse,A2.2,12/06/20,,
220,Etwas erfahren,haben,erfahren,Saber / Aprender / Enterarse,A2.2,12/06/20,,
221,Vorlesen,haben,vorgelesen,Leer en voz alta,A2.2,12/06/20,,
222,Beeilen (sich),haben,sich beeilt,Darse prisa,A2.2,12/06/20,,
223,Kriegen,haben,gekriegt,Obtener / Conseguir,A2.2,12/06/20,,
224,Weinen,haben,geweint,Llorar,A2.2,12/06/20,,
225,Abschließen,haben,Abgeschlossen,Contratar / Aislar / Ultimar / Terminar,A2.2,12/06/20,,
226,Absperren,haben,Abgesperrt,Cortar / Bloquear,A2.2,12/06/20,,
227,Anfassen,haben,angefasst,Tomar / Agarrar,A2.2,12/06/20,,
228,Etwas sichern,haben,gesichert,Asegurar algo,A2.2,12/06/20,,
229,Stehlen,haben,gestohlen,Robar,A2.2,12/06/20,,
230,Ändern,haben,geändert,Modificar,A2.2,12/06/20,,
231,Brennen,haben,gebrannt,Quemar,A2.2,12/06/20,,
232,(Etwas machen) Lassen,haben,machen lassen,Permitir,A2.2,12/06/20,,
233,Nähen,haben,genäht,Coser,A2.2,12/06/20,,
234,Reinigen,haben,gereinight,Purgar / limpiar / Modificar,A2.2,12/06/20,,
235,Schneiden,haben,geschnitten,Recortar / Dividir,A2.2,12/06/20,,
236,Waschen,haben,gewaschen,Lavar,A2.2,12/06/20,,
237,Anklicken,haben,angeklickt,Cliquear,A2.2,12/06/20,,
238,Ausfüllen,haben,angefüllt,Llenar / Completar,A2.2,12/06/20,,
239,Bestätigen,haben,bestätigt,Confirmar / Certificar,A2.2,12/06/20,,
240,Wählen,haben,gewählt,Seleccionar,A2.2,12/06/20,,
241,Besitzen,haben,besessen,Tener,A2.2,12/06/20,,
242,Erreichen,haben,erreicht,Llegar / Alcanzar / Conseguir,A2.2,12/06/20,,
243,Mieten,haben,gemietet,Contratar / Arrendar,A2.2,12/06/20,,
244,Teilen,haben,geteilt,Fraccionar / Repartir / Distribuir,A2.2,12/06/20,,
245,Vorstellen,haben,vorgestellt,Adelantar / Poner delante / Avanzar,A2.2,12/06/20,,
246,Zurückbringen,haben,zuruckgebracht,Devolver / Restituir,A2.2,12/06/20,,
247,Zurückfahren,sein,zuruckgefahren,Volver / Regresar,A2.2,12/06/20,,
248,(sich) Bewerben um,haben,sich beworben,Aplicar / Solicitar,A2.2,12/06/20,,
249,Kündigen,haben,gekündigt,Terminar / Rescindir,A2.2,12/06/20,,
250,Kopieren,haben,kopiert,Copiar,A2.2,12/06/20,,
251,Stören,haben,gestört,Molestar,A2.2,12/06/20,,
252,Vorhaben,haben,vorgehabt,Proyectar / Planear,A2.2,12/06/20,,
253,Beantragen,haben,beantragt,Proponer / Solicitar,A2.2,12/06/20,,
254,Verlängern,haben,verlängert,Ampliar / Prolongar,A2.2,12/06/20,,
255,Leiten,haben,geleitet,Conducir / Guiar,A2.2,12/06/20,,
256,Sich verabreden,haben,verabredet,Citarse,A2.2,12/06/20,,
257,Unterstützen,haben,unterstützt,Apoyar / Repaldar,A2.2,12/06/20,,
258,Abonnieren,haben,abonniert,Suscrubirse,A2.2,12/06/20,,
259,Auffordern,haben,aufgefordet,Pedir / mandar,A2.2,12/06/20,,
260,Bedienen,haben,bedient,Dar un servicio / atender,A2.2,12/06/20,,
261,Behalten,haben,behalten,Guardar / mantener,A2.2,12/06/20,,
262,Enttäuschen,sein,enttäuscht,Decepcionar,A2.2,12/06/20,,
263,Erhalten,haben,erhalten,Obtener / Recibir,A2.2,12/06/20,,
264,Senden,haben,gesendet,Enviar,A2.2,12/06/20,,
265,Bereithalten,haben,bereitgehalten,Tener preparado,A2.2,12/06/20,,
266,Drücken,haben,gedrückt,Pulsar,A2.2,12/06/20,,
267,Verbinden,haben,verbunden,Conectar,A2.2,12/06/20,,
268,Zurückrufen,haben,zurückangerufen,Devolver el llamado,A2.2,12/06/20,,
269,Beeinflussen,haben,beeinflusst,Influenciar,B1.1,12/06/20,,
270,Einschlafen,haben,eingeschlafen,Dormirse / Adormecerse,B1.1,12/06/20,,
271,Unterstützen,haben,unterstützt,Apoyar / respaldar,B1.1,12/06/20,,
272,Verabschieden (sich),haben,sich verabschiedet,Despedir,B1.1,12/06/20,,
273,Beschäftigen (sich),haben,sich beschäftigt,Ocupar / Emplear (trabajo),B1.1,12/06/20,,
274,Duzen,haben,geduzt,Tutear,B1.1,12/06/20,,
275,Erledigen,haben,erledigt,Ocuparse de / Resolver / Terminar,B1.1,12/06/20,,
276,Übernehmen (etwas),haben,etwas übernommen,Aplicar / Asumir,B1.1,12/06/20,,
277,Entschließen (sich),haben,sich entschlossen,Decidir,B1.1,12/06/20,,
278,Erwarten,haben,Erwartet,Esperar,B1.1,12/06/20,,
279,Führen,haben,geführt,Conducir / Guiar,B1.1,12/06/20,,
280,Überlegen,haben,überlegt,Reflexionar / Considerar / Deliberar,B1.1,12/06/20,,
281,Übrig bleiben,sein,übrig geblieben,Permanecer,B1.1,12/06/20,,
282,Vorstellen (sich etwas),haben,sich etwas vorgestellt,Imaginar,B1.1,12/06/20,,
